EXPERIMENT	ISLAND	SPECIES	COUNT	RUN_TIME	HABITAT	DISTANCE	SIZE	TAXON	MIGRAT_RATE	MORTALITY
distance	Island-1	sp01	0	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp02	0	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp03	4	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp04	2	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp05	1	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp06	1	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp07	1	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp08	1	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp09	1	100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp10	1	100	tundra	10	256	arthropods	2	0.05
distance	Island-2	sp01	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp02	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp03	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp04	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp05	1	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp06	1	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp07	1	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp08	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp09	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp10	0	100	tundra	410	256	arthropods	2	0.05
distance	Island-1	sp01	1	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp02	2	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp03	6	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp04	2	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp05	2	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp06	2	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp07	0	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp08	2	300	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp09	1	300	tundra	10	256	arthropods	2	0.05
